author_type,url,location,deal_type,accommodation_type,price,year_of_construction,house_material_type,living_meters,floors_count,underground,creation_date,price_per_m2,underground_list,month,year_month,year,day_of_week
realtor_based,https://www.cian.ru/rent/flat/319774355/,Москва,rent_long,flat,32000.0,1993.0,panel,19.0,14,"Зеленоград — Крюково, Фирсановская, Сходня",2025-07-15,1684.2105263157894,"['Зеленоград — Крюково', 'Фирсановская', 'Сходня']",7,2025-07,2025,1
realtor_not_commerce,https://www.cian.ru/rent/flat/319708956/,Москва,rent_long,flat,35000.0,,unknown,30.0,5,"Хорошёво, Народное Ополчение, Полежаевская, Хорошёвская, Зорге",2025-07-13,1166.6666666666667,"['Хорошёво', 'Народное Ополчение', 'Полежаевская', 'Хорошёвская', 'Зорге']",7,2025-07,2025,6
realtor_not_commerce,https://www.cian.ru/rent/flat/319403700/,Москва,rent_long,flat,35000.0,,unknown,17.0,3,"Апрелевка, Победа, Крёкшино",2025-07-03,2058.823529411765,"['Апрелевка', 'Победа', 'Крёкшино']",7,2025-07,2025,3
realtor_based,https://www.cian.ru/rent/flat/276586396/,Москва,rent_long,flat,38000.0,1974.0,block,20.0,12,,2022-08-01,1900.0,[],8,2022-08,2022,0
realtor_not_commerce,https://www.cian.ru/rent/flat/319703180/,Москва,rent_long,flat,38000.0,,unknown,30.0,28,"Пятницкое шоссе, Митино, Волоколамская",2025-07-13,1266.6666666666667,"['Пятницкое шоссе', 'Митино', 'Волоколамская']",7,2025-07,2025,6
realtor_not_commerce,https://www.cian.ru/rent/flat/319069110/,Москва,rent_long,flat,38000.0,2025.0,unknown,30.0,28,"ЗИЛ, Автозаводская",2025-06-24,1266.6666666666667,"['ЗИЛ', 'Автозаводская']",6,2025-06,2025,1
realtor_not_commerce,https://www.cian.ru/rent/flat/319708681/,Москва,rent_long,flat,39000.0,,unknown,16.0,5,"Моссельмаш, Грачёвская, Коптево",2025-07-13,2437.5,"['Моссельмаш', 'Грачёвская', 'Коптево']",7,2025-07,2025,6
realtor_based,https://www.cian.ru/rent/flat/319788447/,Москва,rent_long,flat,40000.0,,unknown,20.0,12,"Улица Академика Янгеля, Красный Строитель, Покровское",2025-07-15,2000.0,"['Улица Академика Янгеля', 'Красный Строитель', 'Покровское']",7,2025-07,2025,1
realtor_based,https://www.cian.ru/rent/flat/319786277/,Москва,rent_long,flat,40000.0,,unknown,18.0,5,"Окская, Кузьминки, Рязанский проспект",2025-07-15,2222.222222222222,"['Окская', 'Кузьминки', 'Рязанский проспект']",7,2025-07,2025,1
realtor_based,https://www.cian.ru/rent/flat/319785223/,Москва,rent_long,flat,40000.0,,unknown,18.0,5,"Войковская, Красный Балтиец, Коптево",2025-07-15,2222.222222222222,"['Войковская', 'Красный Балтиец', 'Коптево']",7,2025-07,2025,1
realtor_based,https://www.cian.ru/rent/flat/319707883/,Москва,rent_long,flat,40000.0,,unknown,21.0,9,"Шипиловская, Красногвардейская, Зябликово",2025-07-13,1904.7619047619048,"['Шипиловская', 'Красногвардейская', 'Зябликово']",7,2025-07,2025,6
realtor_based,https://www.cian.ru/rent/flat/319765234/,Москва,rent_long,flat,40000.0,,unknown,19.0,17,"Некрасовка, Лухмановская, Люберцы",2025-07-15,2105.2631578947367,"['Некрасовка', 'Лухмановская', 'Люберцы']",7,2025-07,2025,1
realtor_based,https://www.cian.ru/rent/flat/319600819/,Москва,rent_long,flat,40000.0,,unknown,35.0,4,"Бунинская аллея, Силикатная, Щербинка",2025-07-09,1142.857142857143,"['Бунинская аллея', 'Силикатная', 'Щербинка']",7,2025-07,2025,2
realtor_based,https://www.cian.ru/rent/flat/319599137/,Москва,rent_long,flat,40000.0,,unknown,35.0,4,"Бунинская аллея, Силикатная, Щербинка",2025-07-09,1142.857142857143,"['Бунинская аллея', 'Силикатная', 'Щербинка']",7,2025-07,2025,2
